merchant,description,category
Coursera,Textbook purchase - Coursera,Education
Mortgage Servicer,Mortgage Servicer - card transaction,Bills
Target,Grocery pickup - Target,Food
Student Loan Servicer,Payment to Student Loan Servicer,Education
ATM,Miscellaneous payment - ATM,Others
eBay,AMZN MKTP US - eBay,Shopping
Walgreens,Urgent care visit - Walgreens,Healthcare
Etsy,AMZN MKTP US - Etsy,Shopping
Macy's,Payment to Macy's,Shopping
CVS Pharmacy,Snacks and cosmetics run - CVS Pharmacy,Shopping
AT&T,Insurance premium - AT&T,Bills
Amazon,POS purchase at Amazon,Shopping
University Tuition Office,Online course - University Tuition Office,Education
Nordstrom,Home goods - Nordstrom,Shopping
University Tuition Office,Tuition payment - University Tuition Office,Education
City Parking Garage,Gas station fill-up - City Parking Garage,Transport
Whole Foods,Debit card purchase: Whole Foods,Food
PlayStation Store,Purchase - PlayStation Store,Entertainment
eBay,Payment to eBay,Shopping
Spotify,POS purchase at Spotify,Entertainment
City Power & Water,Recurring bill - City Power & Water,Bills
Target,Target - card transaction,Shopping
